State,YEAR,ANNUAL
ANDHRA PRADESH,1901,1707.8
ANDHRA PRADESH,1902,1882.0
ANDHRA PRADESH,1903,2454.4
ANDHRA PRADESH,1904,1293.6
ANDHRA PRADESH,1905,1498.6
ANDHRA PRADESH,1906,1934.1
ANDHRA PRADESH,1907,1458.3
ANDHRA PRADESH,1908,1459.4
ANDHRA PRADESH,1909,1738.2
ANDHRA PRADESH,1910,2255.7
ANDHRA PRADESH,1911,1410.1
ANDHRA PRADESH,1912,1649.1
ANDHRA PRADESH,1913,1457.3
ANDHRA PRADESH,1914,1691.5
ANDHRA PRADESH,1915,2270.5
ANDHRA PRADESH,1916,2398.2
ANDHRA PRADESH,1917,2222.7
ANDHRA PRADESH,1918,1423.8
ANDHRA PRADESH,1919,2031.9
ANDHRA PRADESH,1920,1398.3
ANDHRA PRADESH,1921,1758.6
ANDHRA PRADESH,1922,1623.6
ANDHRA PRADESH,1923,1642.2
ANDHRA PRADESH,1924,1866.3
ANDHRA PRADESH,1925,2104.0
ANDHRA PRADESH,1926,1553.3000000000002
ANDHRA PRADESH,1927,1735.0
ANDHRA PRADESH,1928,1812.6
ANDHRA PRADESH,1929,1555.7
ANDHRA PRADESH,1930,2218.2
ANDHRA PRADESH,1931,2006.3
ANDHRA PRADESH,1932,1607.3
ANDHRA PRADESH,1933,1765.5
ANDHRA PRADESH,1934,1495.7
ANDHRA PRADESH,1935,1533.4
ANDHRA PRADESH,1936,2024.3000000000002
ANDHRA PRADESH,1937,1667.6
ANDHRA PRADESH,1938,1880.6
ANDHRA PRADESH,1939,1868.5
ANDHRA PRADESH,1940,1973.6
ANDHRA PRADESH,1941,1680.0
ANDHRA PRADESH,1942,1416.6999999999998
ANDHRA PRADESH,1943,2014.4
ANDHRA PRADESH,1944,2073.3
ANDHRA PRADESH,1945,1595.6
ANDHRA PRADESH,1946,1923.9
ANDHRA PRADESH,1947,1750.5
ANDHRA PRADESH,1948,1633.5
ANDHRA PRADESH,1949,2043.8
ANDHRA PRADESH,1950,1496.9
ANDHRA PRADESH,1951,1634.5
ANDHRA PRADESH,1952,1617.9
ANDHRA PRADESH,1953,1785.7
ANDHRA PRADESH,1954,1938.9
ANDHRA PRADESH,1955,2195.3
ANDHRA PRADESH,1956,2339.5
ANDHRA PRADESH,1957,1589.3000000000002
ANDHRA PRADESH,1958,2413.7
ANDHRA PRADESH,1959,1756.5
ANDHRA PRADESH,1960,1687.6
ANDHRA PRADESH,1961,1770.7
ANDHRA PRADESH,1962,2161.8
ANDHRA PRADESH,1963,1733.0
ANDHRA PRADESH,1964,1852.6
ANDHRA PRADESH,1965,1350.1
ANDHRA PRADESH,1966,1858.8000000000002
ANDHRA PRADESH,1967,1580.7
ANDHRA PRADESH,1968,1462.8
ANDHRA PRADESH,1969,2122.1
ANDHRA PRADESH,1970,1840.6
ANDHRA PRADESH,1971,1654.3000000000002
ANDHRA PRADESH,1972,1854.5
ANDHRA PRADESH,1973,1548.6
ANDHRA PRADESH,1974,1673.4
